mrun,RBD,CODIGO_REGION_EGRESO,NOMBRE_REGION_EGRESO,PTJE_NEM,PTJE_RANKING,PROM_CM_ACTUAL,rango_edad,anio_ing_carr_ori,anio_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,nomb_carrera,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,forma_ingreso,NOMBRE_REGION_INGRESO
229196,14594.0,5,Valparaíso,710,752,"664,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,72,UNIVERSIDAD DE VALPARAISO,ENFERMERIA,Valparaíso,VALPARAISO,VALPARAISO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso
14665276,9757.0,13,Metropolitana,786,850,"709,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,70,UNIVERSIDAD DE CHILE,TECNOLOGIA MEDICA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
22126782,9564.0,13,Metropolitana,786,847,"696,5",15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,31,UNIVERSIDAD AUTONOMA DE CHILE,MEDICINA,Metropolitana,SANTIAGO,PROVIDENCIA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
14750102,11776.0,13,Metropolitana,717,735,706,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,9,UNIVERSIDAD DEL ALBA,MEDICINA,Metropolitana,SANTIAGO,PROVIDENCIA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
965440,8904.0,13,Metropolitana,667,667,684,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,34,UNIVERSIDAD DE LOS ANDES,NUTRICION Y DIETETICA,Metropolitana,SANTIAGO,LAS CONDES,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
22559794,8877.0,13,Metropolitana,635,635,"665,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,86,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,COLLEGE ARTES Y HUMANIDADES (LICENCIATURA),Metropolitana,SANTIAGO,MACUL,Pregrado,"Bachillerato, Ciclo Inicial o Plan Común",1- Ingreso Directo (regular),Metropolitana
4667948,25369.0,13,Metropolitana,727,770,665,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,70,UNIVERSIDAD DE CHILE,BIOQUIMICA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
6831504,1631.0,5,Valparaíso,667,681,635,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,72,UNIVERSIDAD DE VALPARAISO,OBSTETRICIA Y PUERICULTURA,Valparaíso,SAN FELIPE DE ACONCAGUA,SAN FELIPE,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso
5122323,40289.0,5,Valparaíso,598,598,"555,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,89,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,GEOGRAFIA,Valparaíso,VALPARAISO,VALPARAISO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso
20400528,4805.0,8,Biobío,581,599,0,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,13,UNIVERSIDAD SANTO TOMAS,KINESIOLOGIA,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Biobío
