mrun,RBD,CODIGO_REGION_EGRESO,NOMBRE_REGION_EGRESO,PTJE_NEM,PTJE_RANKING,PROM_CM_ACTUAL,rango_edad,anio_ing_carr_ori,anio_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,nomb_carrera,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,forma_ingreso,NOMBRE_REGION_INGRESO,NOM_RBD,COD_REG_RB,TIPO_DEPEN,LATITUD_COL,LONGITUD_COL,NOMBRE_INS,REGIÓN,COMUNA,LATITUD_UNI,LONGITUD_UNI,TIPO_INST,ID_RBD,N EVALUADO,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto,IVM_Establecimiento,valor_corte,DISTANCIA
13776824,9046.0,13,Metropolitana,775,780,"791,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,86,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,INGENIERIA COMERCIAL,Metropolitana,SANTIAGO,MACUL,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,COLEGIO THE GRANGE SCHOOL,13.0,3.0,-33.437946,-70.56862,,,,-33.485417,-70.616989,,,,,,,,19.03805,,6.92788569349532
18327063,8503.0,13,Metropolitana,647,693,522,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,85,UNIVERSIDAD TECNOLOGICA METROPOLITANA,INGENIERIA EN BIOTECNOLOGIA,Metropolitana,SANTIAGO,ÑUÑOA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,INST.SUP.DE COMERCIO EDUARDO FREI M.,13.0,1.0,-33.442097,-70.656301,,,,-33.452566,-70.591924,,8503.0,1213.0,548.0,111.0,94.0,460.0,21.7438179107262,20.03805,6.08529621068642
23768815,12655.0,1,Tarapacá,775,850,597,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,72,UNIVERSIDAD DE VALPARAISO,NUTRICION Y DIETETICA,Valparaíso,VALPARAISO,VALPARAISO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso,COLEGIO SAN PEDRO,1.0,2.0,-20.27458,-70.09288,,,,,,,12655.0,241.0,108.0,32.0,19.0,82.0,20.9394118894828,20.03805,
14851720,12830.0,2,Antofagasta,631,645,384,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,13,UNIVERSIDAD SANTO TOMAS,INGENIERIA COMERCIAL,Antofagasta,ANTOFAGASTA,ANTOFAGASTA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Antofagasta,LICEO DE ESTUDIOS CONTABLES Y ADMINISTR.,2.0,2.0,-23.641199,-70.390808,,,,-23.560032,-70.40047,,12830.0,733.0,268.0,60.0,59.0,346.0,21.6949625414387,20.03805,9.078895609021894
4421540,13352.0,4,Coquimbo,807,850,672,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,72,UNIVERSIDAD DE VALPARAISO,INGENIERIA EN NEGOCIOS INTERNACIONALES,Valparaíso,VALPARAISO,VALPARAISO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso,LICEO POLIV.PADRE JOSE HERDE P-LHER,4.0,1.0,-31.38916,-71.41494,,,,,,,13352.0,379.0,226.0,40.0,26.0,87.0,16.5070278881456,20.03805,
2376849,26399.0,13,Metropolitana,517,517,"563,5",15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,45,UNIVERSIDAD DEL DESARROLLO,ARQUITECTURA,Metropolitana,SANTIAGO,LAS CONDES,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,COLEGIO PUMAHUE CHICUREO,13.0,3.0,-33.219913,-70.74448,UNIVERSIDAD DEL DESARROLLO,Metropolitana,LAS CONDES,-33.372476,-70.515748,Universidades privadas,,,,,,,19.03805,,27.19774591990183
15547601,2973.0,7,Maule,656,662,"535,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,92,UNIVERSIDAD CATOLICA DEL MAULE,TRABAJO SOCIAL,Maule,TALCA,TALCA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,LICEO ABATE MOLINA,7.0,1.0,-35.424061,-71.646896,,,,-35.40421,-71.635118,,2973.0,1809.0,1711.0,24.0,17.0,57.0,9.43045529139836,20.03805,2.4518441464966383
21870090,3885.0,16,Ñuble,679,781,508,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,93,UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION,TECNICO UNIVERSITARIO EN ENFERMERIA,Ñuble,DIGUILLIN,CHILLAN,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Ñuble,COLEGIO FRANCISCO DE ASIS,16.0,2.0,-36.70467,-71.890251,,,,,,,3885.0,261.0,209.0,19.0,11.0,22.0,12.9291818040157,20.03805,
21472275,17829.0,16,Ñuble,499,499,"522,5",15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,38,UNIVERSIDAD ADVENTISTA DE CHILE,PSICOLOGIA,Ñuble,DIGUILLIN,CHILLAN,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Ñuble,CENTRO DE ESTUDIO LA ARAUCANA,16.0,2.0,-36.60773,-72.09564,,,,-36.637289,-71.997327,,,,,,,,,,9.369207968431052
10413408,17843.0,8,Biobío,449,451,456,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,39,UNIVERSIDAD SAN SEBASTIAN,FONOAUDIOLOGIA,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Biobío,COLEGIO AURORA DE CHILE CHIGUAYANTE,8.0,2.0,-36.92593,-73.025383,,,,,,,17843.0,632.0,443.0,42.0,27.0,120.0,14.5060678222416,20.03805,
