mrun,RBD,CODIGO_REGION_EGRESO,NOMBRE_REGION_EGRESO,PTJE_NEM,PTJE_RANKING,PROM_CM_ACTUAL,rango_edad,anio_ing_carr_ori,anio_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,nomb_carrera,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,forma_ingreso,NOMBRE_REGION_INGRESO,NOM_RBD,COD_REG_RB,TIPO_DEPEN,LATITUD_COL,LONGITUD_COL,NOMBRE_INS,REGIÓN,COMUNA,LATITUD_UNI,LONGITUD_UNI,TIPO_INST
15859819,22114.0,10,Los Lagos,566,595,"413,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,84,UNIVERSIDAD DE LOS LAGOS,DERECHO,Los Lagos,OSORNO,OSORNO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Los Lagos,LICEO PREMILITAR HÉROES DE LA CONCEPCIÓN,10.0,2.0,-40.57777,-73.123833,UNIVERSIDAD DE LOS LAGOS,Los Lagos,OSORNO,-40.571171,-73.132523,Universidades estatales cruch
2408903,9656.0,13,Metropolitana,695,772,600,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,70,UNIVERSIDAD DE CHILE,INGENIERIA EN RECURSOS NATURALES RENOVABLES,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,ESCUELA PARTICULAR PDTE.JOSE J.PRIETO,13.0,2.0,-33.577183,-70.630169,UNIVERSIDAD DE CHILE,Metropolitana,SANTIAGO,-33.435867,-70.645832,Universidades estatales cruch
7853737,9519.0,13,Metropolitana,624,663,525,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,69,UNIVERSIDAD ALBERTO HURTADO,BACHILLERATO EN HUMANIDADES,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,"Bachillerato, Ciclo Inicial o Plan Común",1- Ingreso Directo (regular),Metropolitana,COLEGIO BICENTENARIO SANTO CURA DE ARS,13.0,2.0,-33.506849,-70.652088,UNIVERSIDAD ALBERTO HURTADO,Metropolitana,SANTIAGO,-33.443917,-70.662204,Universidades privadas cruch
15863634,25434.0,13,Metropolitana,444,444,"482,5",15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,13,UNIVERSIDAD SANTO TOMAS,PSICOLOGIA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,COLEGIO PARTICULAR FORJADORES,13.0,2.0,-33.60894,-70.901852,,,,-33.434819,-70.662722,
7093160,8877.0,13,Metropolitana,635,635,"601,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,34,UNIVERSIDAD DE LOS ANDES,NUTRICION Y DIETETICA,Metropolitana,SANTIAGO,LAS CONDES,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,COLEGIO DE LOS SAGRADOS CORAZONES,13.0,3.0,-33.378682,-70.55175,UNIVERSIDAD DE LOS ANDES,Metropolitana,LAS CONDES,-33.402614,-70.508281,Universidades privadas cruch
21208644,8871.0,13,Metropolitana,549,549,"635,5",15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,45,UNIVERSIDAD DEL DESARROLLO,ARQUITECTURA,Metropolitana,SANTIAGO,LAS CONDES,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,COLEGIO LOS ANDES DE VITACURA,13.0,3.0,-33.375508,-70.52658,UNIVERSIDAD DEL DESARROLLO,Metropolitana,LAS CONDES,-33.372476,-70.515748,Universidades privadas
2702297,2110.0,6,Lib. Gral B. O'Higgins,717,727,0,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,895,UNIVERSIDAD DE O'HIGGINS,PEDAGOGIA EN MATEMATICA,Lib. Gral B. O'Higgins,CACHAPOAL,RANCAGUA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Lib. Gral B. O'Higgins,LICEO MUNICIPAL OSCAR CASTRO ZUNIGA,6.0,1.0,-34.170921,-70.738098,UNIVERSIDAD DE O'HIGGINS,Lib. Gral B. O'Higgins,RANCAGUA,-34.164317,-70.741429,Universidades estatales cruch
12741793,25550.0,13,Metropolitana,570,586,"542,5",15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,10,UNIVERSIDAD MAYOR,INGENIERIA CIVIL INDUSTRIAL,Metropolitana,SANTIAGO,PROVIDENCIA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,ESC. BASICA PART. BOSTON COLLEGE LA FARFANA,13.0,2.0,-33.490481,-70.768416,UNIVERSIDAD MAYOR,Metropolitana,PROVIDENCIA,-33.431348,-70.618449,Universidades privadas
14142305,8950.0,13,Metropolitana,689,703,599,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,71,UNIVERSIDAD DE SANTIAGO DE CHILE,ARQUITECTURA,Metropolitana,SANTIAGO,ESTACION CENTRAL,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,COLEGIO COMPANIA DE MARIA-SEMINARIO,13.0,3.0,-33.437231,-70.63094,,,,-33.444477,-70.68375,
13261378,17662.0,16,Ñuble,620,643,501,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,75,UNIVERSIDAD DEL BIO-BIO,DISEÑO GRAFICO,Ñuble,DIGUILLIN,CHILLAN,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Ñuble,LICEO BICENTENARIO CLAUDIO ARRAU LEÓN,16.0,1.0,-36.630539,-71.837532,,,,,,
